t,x1,y1,z1,x2,y2,z2,x3,y3,z3,vx1,vy1,vz1,vx2,vy2,vz2,vx3,vy3,vz3
0.0825,0.0,0.0,0.0,0.9957402312504487,0.013181220330961306,0.0013181220330961282,-0.9957402312504487,-0.013181220330961306,-0.0013181220330961282,0.0,0.0,0.0,-0.10340967332665868,0.15931558185309475,0.01593155818530947,0.10340967332665868,-0.15931558185309472,-0.01593155818530947
0.085,0.0,0.0,0.0,0.9954777677041479,0.013579456607979209,0.001357945660797918,-0.9954777677041479,-0.013579456607979209,-0.001357945660797918,0.0,0.0,0.0,-0.10656143226020276,0.1592732241773304,0.01592732241773304,0.10656143226020276,-0.1592732241773304,-0.015927322417733036
0.08750000000000001,0.0,0.0,0.0,0.9952074227279157,0.013977585372883544,0.0013977585372883516,-0.9952074227279157,-0.013977585372883544,-0.0013977585372883516,0.0,0.0,0.0,-0.10971482596021462,0.15922957168409452,0.01592295716840945,0.10971482596021462,-0.15922957168409452,-0.01592295716840945
0.09,0.0,0.0,0.0,0.9949291921727639,0.014375603385251502,0.0014375603385251476,-0.9949291921727639,-0.014375603385251502,-0.0014375603385251476,0.0,0.0,0.0,-0.11286990413222542,0.15918462165352393,0.015918462165352393,0.11286990413222542,-0.15918462165352393,-0.015918462165352393
0.0925,0.0,0.0,0.0,0.9946430717652429,0.014773507397754083,0.0014773507397754055,-0.9946430717652429,-0.014773507397754083,-0.0014773507397754055,0.0,0.0,0.0,-0.1160267166254417,0.1591383712815415,0.01591383712815415,0.1160267166254417,-0.1591383712815415,-0.01591383712815415
0.095,0.0,0.0,0.0,0.994349057107076,0.015171294155944755,0.0015171294155944728,-0.994349057107076,-0.015171294155944755,-0.0015171294155944728,0.0,0.0,0.0,-0.11918531343720551,0.15909081767938185,0.015909081767938184,0.11918531343720551,-0.15909081767938185,-0.015909081767938184
0.0975,0.0,0.0,0.0,0.9940471436747808,0.01556896039804696,0.0015568960398046933,-0.9940471436747808,-0.01556896039804696,-0.0015568960398046933,0.0,0.0,0.0,-0.1223457447174851,0.15904195787310113,0.015904195787310112,0.1223457447174851,-0.15904195787310113,-0.015904195787310112
0.1,0.0,0.0,0.0,0.9937373268192812,0.015966502854740394,0.0015966502854740364,-0.9937373268192812,-0.015966502854740394,-0.0015966502854740364,0.0,0.0,0.0,-0.1255080607733977,0.15899178880307155,0.015899178880307153,0.1255080607733977,-0.15899178880307155,-0.015899178880307153
0.10250000000000001,0.0,0.0,0.0,0.9934196017655088,0.01636391824894607,0.0016363918248946043,-0.9934196017655088,-0.01636391824894607,-0.0016363918248946043,0.0,0.0,0.0,-0.12867231207376484,0.15894030732345987,0.015894030732345986,0.12867231207376484,-0.15894030732345987,-0.015894030732345986
0.105,0.0,0.0,0.0,0.9930939636119929,0.016761203295610125,0.0016761203295610097,-0.9930939636119929,-0.016761203295610125,-0.0016761203295610097,0.0,0.0,0.0,-0.13183854925370134,0.1588875102016901,0.01588875102016901,0.13183854925370134,-0.15888751020169006,-0.015888751020169005
