t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.5750000000000001,-2.788131080368207e-17,-2.0803379928896777e-18,-1.3554360569682903e-19,0.784751939295238,0.3181909724233025,0.05303182873721708,-0.784751939295238,-0.3181909724233025,-0.05303182873721708
0.58,-2.799819030533313e-17,-2.2721136522768893e-18,-1.6605333441398158e-19,0.7808253805699953,0.3204217139893039,0.053403618998217314,-0.7808253805699953,-0.3204217139893039,-0.053403618998217314
0.585,-2.7966794370099965e-17,-2.5333670310363463e-18,-2.276599699441483e-19,0.7768584799610511,0.32263590043200885,0.05377265007200147,-0.7768584799610511,-0.32263590043200885,-0.05377265007200147
0.59,-2.7820456642365775e-17,-2.841304910944481e-18,-3.145138710166929e-19,0.772851042153672,0.3248332511077424,0.05413887518462373,-0.772851042153672,-0.3248332511077424,-0.05413887518462373
0.595,-2.7619513405906494e-17,-3.1605077146118796e-18,-4.1538079708264807e-19,0.7688028685936279,0.32701347999803815,0.05450224666633969,-0.7688028685936279,-0.32701347999803815,-0.05450224666633969
0.6,-2.7446691318613127e-17,-3.4458889889800425e-18,-5.144638950050998e-19,0.7647137574323413,0.32917629555326583,0.0548627159255443,-0.7647137574323413,-0.32917629555326583,-0.0548627159255443
0.605,-2.7397103639543178e-17,-3.648312529952737e-18,-5.932583367860107e-19,0.760583503470827,0.3313214005312093,0.055220233421868214,-0.760583503470827,-0.3313214005312093,-0.055220233421868214
0.61,-2.7561917853453854e-17,-3.7233019943568156e-18,-6.33618740648057e-19,0.7564118981023982,0.3334484918304858,0.0555747486384143,-0.7564118981023982,-0.3334484918304858,-0.0555747486384143
0.615,-2.800475759796955e-17,-3.643277845427375e-18,-6.222195077900694e-19,0.7521987292541088,0.3355572603186967,0.05592621005311612,-0.7521987292541088,-0.3355572603186967,-0.05592621005311612
0.62,-2.8729901798536187e-17,-3.4137564780121273e-18,-5.565882071346492e-19,0.7479437813269119,0.3376473906552007,0.05627456510920012,-0.7479437813269119,-0.3376473906552007,-0.05627456510920012
0.625,-2.964134391631502e-17,-3.0939463696898456e-18,-4.52892140386549e-19,0.7436468351345034,0.33971856110839976,0.05661976018473329,-0.7436468351345034,-0.33971856110839976,-0.05661976018473329
0.63,-3.04917742141684e-17,-2.82217610399778e-18,-3.5565821972039415e-19,0.7393076678408295,0.3417704433674285,0.05696174056123809,-0.7393076678408295,-0.3417704433674285,-0.05696174056123809
0.635,-3.0926302351289696e-17,-2.7874883568573864e-18,-3.3147191004846995e-19,0.7349260528975189,0.34380270233719,0.05730045038953166,-0.7349260528975189,-0.34380270233719,-0.05730045038953166
0.64,-3.125938954541646e-17,-2.811250318632634e-18,-3.2835614454459285e-19,0.7305017599863055,0.34581499585764347,0.057635832642940574,-0.7305017599863055,-0.34581499585764347,-0.057635832642940574
0.645,-3.160280325033555e-17,-2.839265771950766e-18,-3.2181150137437564e-19,0.7260345549419099,0.3478069745768292,0.05796782909613819,-0.7260345549419099,-0.3478069745768292,-0.05796782909613819
0.65,-3.1951141383833955e-17,-2.8685667222442695e-18,-3.124681086995361e-19,0.7215241996899636,0.3497782817043139,0.05829638028405232,-0.7215241996899636,-0.3497782817043139,-0.05829638028405232
0.655,-3.229346147806665e-17,-2.896180970235805e-18,-3.0495306312508835e-19,0.7169704521789471,0.35172855277031595,0.05862142546171932,-0.7169704521789471,-0.35172855277031595,-0.05862142546171932
0.66,-3.2621234451158284e-17,-2.923226021116933e-18,-3.0419788467745714e-19,0.7123730663095379,0.35365741538651196,0.05894290256441866,-0.7123730663095379,-0.35365741538651196,-0.05894290256441866
0.665,-3.293251132381215e-17,-2.95623768993473e-18,-3.1321231234784754e-19,0.7077317918629644,0.35556448899653725,0.05926074816608954,-0.7077317918629644,-0.35556448899653725,-0.05926074816608954
0.67,-3.3233010714445524e-17,-3.0063461758862026e-18,-3.3208022616279017e-19,0.7030463744283212,0.35744938461580666,0.05957489743596778,-0.7030463744283212,-0.35744938461580666,-0.05957489743596778
0.675,-3.353483494637048e-17,-3.0869123782203933e-18,-3.579334817437774e-19,0.6983165553288038,0.35931170456028616,0.05988528409338103,-0.6983165553288038,-0.35931170456028616,-0.05988528409338103
0.68,-3.385352260053917e-17,-3.210237226448085e-18,-3.856594433179122e-19,0.6935420715468175,0.36115104216384336,0.060191840360640556,-0.6935420715468175,-0.36115104216384336,-0.060191840360640556
0.685,-3.4204145347372767e-17,-3.3839567975590098e-18,-4.090980011414848e-19,0.6887226556479187,0.362966981483806,0.06049449691396766,-0.6887226556479187,-0.362966981483806,-0.06049449691396766
0.6900000000000001,-3.459715689119301e-17,-3.607735992946455e-18,-4.2248385929839775e-19,0.6838580357035428,0.3647590969943576,0.06079318283239293,-0.6838580357035428,-0.3647590969943576,-0.06079318283239293
0.6950000000000001,-3.5034701860775485e-17,-3.870873547739178e-18,-4.218898798353566e-19,0.6789479352124774,0.36652695326739865,0.06108782554456644,-0.6789479352124774,-0.36652695326739865,-0.06108782554456644
0.7000000000000001,-3.5508092479543753e-17,-4.151431145240535e-18,-4.0642726919574423e-19,0.6739920730210364,0.3682701046405027,0.06137835077341712,-0.6739920730210364,-0.3682701046405027,-0.06137835077341712
